contest_group_id,contest_name,choice,choice_party,sum
19,FORSYTH COUNTY BOARD OF COMMISSIONERS DISTRICT A (DEM),Tony Lewis Burton III,DEM,2822
1,HOKE COUNTY BOARD OF COMMISSIONERS (DEM),Tony Hunt,DEM,2020
3,MCDOWELL COUNTY BOARD OF COMMISSIONERS (REP),Tony G. Brown,REP,1059
36,STANLY COUNTY SHERIFF (REP),Tony Frick,REP,294
4,CASWELL COUNTY SHERIFF (DEM),"Tony Durden, Jr.",DEM,2918
19,SURRY COUNTY BOARD OF COMMISSIONERS CENTRAL DISTRICT (REP),Tony Childs,REP,567
9,JOHNSTON COUNTY BOARD OF COMMISSIONERS DISTRICT 6 (UNEXPIRED (REP),Tony Braswell,REP,5395
7,ORANGE COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (DEM),Tommy T. McNeill,DEM,1352
9,WATAUGA COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (REP),Tommy Sofield,REP,1804
12,PASQUOTANK COUNTY SHERIFF (REP),Tommy S. Wooten II,REP,885
4,HAYWOOD COUNTY BOARD OF COMMISSIONERS (REP),Tommy Long,REP,1398
15,STANLY COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (REP),Tommy Jordan,REP,3828
13,GRAHAM COUNTY SHERIFF (DEM),Tommy Holland,DEM,220
1148,NC HOUSE OF REPRESENTATIVES DISTRICT 047 (REP),Tom Norton,REP,384
1442,NC STATE SENATE DISTRICT 25 (REP),Tom McInnis,REP,8911
3,CRAVEN COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (REP),Tom Mark,REP,692
16,YADKIN BOARD OF EDUCATION,Tom Kilby,,1238
19,ORANGE COUNTY BOARD OF EDUCATION,Tom Carr (Write-In),,6
6,BRUNSWICK COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (REP),Tom Adams,REP,1204
17,GRANVILLE COUNTY BOARD OF EDUCATION DISTRICT 4,Tolokun Omokunde,,291
4,DAVIDSON COUNTY BOARD OF COMMISSIONERS (REP),Todd Yates,REP,8068
10,PASQUOTANK COUNTY SHERIFF (DEM),Todd Wagner,DEM,416
22,JOHNSTON COUNTY BOARD OF EDUCATION,Todd P. Sutton,,4899
1,JONES COUNTY BOARD OF COMMISSIONER DISTRICT 2 (DEM),Todd Meadows,DEM,26
4,CLEVELAND COUNTY BOARD OF COMMISSIONERS (DEM),Todd McIntosh,DEM,1853
1665,DISTRICT ATTORNEY DISTRICT 40 (DEM),Todd M. Williams,DEM,13008
6,ASHE COUNTY BOARD OF COMMISSIONERS (REP),Todd A. McNeill,REP,1956
4,PERSON COUNTY SHERIFF (DEM),Todd (T.O.) Dunn,DEM,605
10,PASQUOTANK COUNTY SHERIFF (DEM),Tobie McPherson,DEM,276
9,POLK COUNTY SHERIFF (REP),Tim Wright,REP,750
16,FORSYTH COUNTY SHERIFF (DEM),Tim Wooten,DEM,3829
6,CHEROKEE COUNTY BOARD OF COMMISSIONERS DISTRICT I (REP),Tim West,REP,1885
16,YADKIN BOARD OF EDUCATION,Tim Weatherman,,1982
1482,NC STATE SENATE DISTRICT 38 (DEM),Tim Wallis,DEM,346
1,HERTFORD COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),Tim Wadsworth,DEM,1287
43,LINCOLN COUNTY SHERIFF (REP),Tim W. Johnson,REP,1285
7,MARTIN COUNTY SHERIFF (DEM),Tim Manning,DEM,2619
15,WATAUGA COUNTY SHERIFF (REP),Tim Holman,REP,382
22,ROBESON COUNTY BOARD OF EDUCATION DISTRICT 6,Tim Heath (Write-In),,1
3,ONSLOW COUNTY BOARD OF COMMISSIONERS (REP),Tim Foster,REP,5533
37,COLUMBUS COUNTY SHERIFF (DEM),Tim Floyd,DEM,818
1266,NC HOUSE OF REPRESENTATIVES DISTRICT 086 (DEM),Tim Barnsback,DEM,1318
7,GUILFORD COUNTY BOARD OF EDUCATION AT-LARGE (DEM),Tijuana B. Hayes,DEM,9528
1,MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Tigress Sydney Acute McDaniel,DEM,4643
4,CALDWELL COUNTY BOARD OF COMMISSIONERS (DEM),Thomas E. (Tom) Blanton,DEM,513
22,GUILFORD COUNTY SHERIFF (DEM),Therron J. (TJ) Phipps,DEM,9451
13,CRAVEN COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),Theron McCabe,DEM,288
1,HOKE COUNTY BOARD OF COMMISSIONERS (DEM),Therman Little,DEM,456
1137,NC HOUSE OF REPRESENTATIVES DISTRICT 043 (DEM),Theresa Gale,DEM,891
7,MADISON BOARD OF EDUCATION CHAIR (DEM),Theresa Banks,DEM,1109
46,LINCOLN COUNTY BOARD OF COMMISSIONERS (REP),Theodore Huss,REP,1190
7,SAMPSON COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),"Thaddeus L. Godwin, Sr.",DEM,623
6,MONTGOMERY COUNTY SHERIFF (REP),Terry Wells,REP,361
4,DAVIDSON COUNTY BOARD OF COMMISSIONERS (REP),Terry Sprinkle,REP,5788
4,HAYWOOD COUNTY BOARD OF COMMISSIONERS (REP),Terry Ramey,REP,1056
1,HALIFAX COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Terry Buffaloe,DEM,2029
22,JOHNSTON COUNTY BOARD OF EDUCATION,Terri Sessoms,,7540
16,SURRY COUNTY BOARD OF EDUCATION DISTRICT 4,Terri Mosley,,5752
1,HOKE COUNTY BOARD OF COMMISSIONERS (DEM),Terrell Samuel McMillan,DEM,893
10,SURRY COUNTY CLERK OF SUPERIOR COURT (REP),Teresa O'Dell,REP,2754
1113,NC HOUSE OF REPRESENTATIVES DISTRICT 035 (DEM),Terence Everitt,DEM,3926
4,SCOTLAND COUNTY BOARD OF COMMISSIONERS STEWARTSVILLE TWP (DEM),Terence D. Williams,DEM,456
1064,NC HOUSE OF REPRESENTATIVES DISTRICT 019 (REP),"Ted Davis, Jr.",REP,1705
1667,DISTRICT ATTORNEY DISTRICT 41 (REP),Ted Bell,REP,4939
1499,NC STATE SENATE DISTRICT 44 (REP),Ted Alexander,REP,5523
1295,NC HOUSE OF REPRESENTATIVES DISTRICT 096 (REP),Taylor G. Huffman,REP,2615
7,BUNCOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),Taylon Breeden,DEM,791
1,RICHMOND COUNTY BOARD OF COMMISSIONERS (DEM),Tavares Bostic,DEM,2266
1,HERTFORD COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (DEM),Tammy Mizelle,DEM,351
10,SAMPSON COUNTY CLERK OF SUPERIOR COURT (DEM),Tammy H. Grady,DEM,1745
7,BERTIE COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (DEM),Tammy A. Lee,DEM,2110
4,CLAY COUNTY BOARD OF COMMISSIONERS (REP),Tammie Hurst,REP,414
6,GRAHAM COUNTY BOARD OF COMMISSIONERS (REP),Tabitha M. Myler,REP,499
10,HALIFAX COUNTY BOARD OF EDUCATION,Susie Lynch Evans,,3350
12,PENDER COUNTY CLERK OF SUPERIOR COURT (REP),Susan Rooks Lunsford,REP,1176
