contest_group_id,contest_name,choice,choice_party,sum
1025,NC COMMISSIONER OF INSURANCE,Wayne Goodwin,DEM,2234953
6,SCOTLAND COUNTY BOARD OF EDUCATION STEWARTSVILLE,Wayne Cromartie,,4544
1,MADISON COUNTY BOARD OF COMMISSIONERS,Wayne Brigman,DEM,5715
4,ALAMANCE COUNTY BOARD OF COMMISSIONERS,Wayne Beam,DEM,32402
8,WAYNE COUNTY BOARD OF COMMISIONERS AT-LARGE,Wayne Aycock,REP,32611
1081,NC HOUSE OF REPRESENTATIVES DISTRICT 006,Warren Judge,DEM,20471
1071,NC STATE SENATE DISTRICT 46,Warren Daniel,REP,52997
10,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Wanda Grimes (Write-In),,6
7,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Walter Stanley (Write-In),,27
1023,NC COMMISSIONER OF AGRICULTURE,Walter Smith,DEM,2018872
1259,NC DISTRICT COURT JUDGE DISTRICT 10 (NAGLE),Walter Rand,,194889
1225,NC DISTRICT COURT JUDGE DISTRICT 03B (MILLS),Walter Mills,,53520
3,WARREN COUNTY BOARD OF COMMISSIONERS DISTRICT 5,"Walter E. Powell, Sr.",DEM,7569
1382,US HOUSE OF REPRESENTATIVES DISTRICT 3,Walter B. Jones,REP,217531
1,DARE COUNTY BOARD OF COMMISSIONERS DISTRICT 1,Wally Overman,REP,10771
1,CUMBERLAND COUNTY BOARD OF COMMISSIONERS DISTRICT 2,Wade Fowler,REP,30560
7,GASTON COUNTY BOARD OF EDUCATION CROWDERS MOUNTAIN TOWNSHIP,W.R. (Bob) Hovis (Write-In),,60
1280,NC DISTRICT COURT JUDGE DISTRICT 13 (HANKINS),W. Richard Cox,,30308
2,GASTON COUNTY BOARD OF COMMISSIONERS CROWDERS MOUNTAIN TOWNS,W. R. (Bob) Hovis,REP,56564
4,HARNETT COUNTY BOARD OF EDUCATION DISTRICT 2,W. H. (Bill) Morris,REP,5735
1,DAVIE COUNTY BOARD OF EDUCATION,W. G. (Dub) Potts,REP,14035
1222,NC DISTRICT COURT JUDGE DISTRICT 03B (MCFADYEN),W. David McFadyen III,,62215
9,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Vonnie Brown,,76296
4,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Vonda M. Brown (Write-In),,15
8,TOWN OF DOBSON COMMISSIONER,Vonda Comer,,351
5,WINSTON SALEM CITY COUNCIL - NORTHEAST WARD,Vivian H. Burke,DEM,10394
1384,US HOUSE OF REPRESENTATIVES DISTRICT 5,Virginia Foxx,REP,207625
5,EDGECOMBE COUNTY BOARD OF COMMISSIONERS DISTRICT 2,Viola S. Harris,DEM,2878
1199,NC COURT OF APPEALS JUDGE (DIETZ),Vince Rozier,DEM,2048367
3,BURKE COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Vince Roper (Write-In),,20
3,MECKLENBURG COUNTY COMMISSIONER DISTRICT 2,Vilma D. Leake,DEM,57775
1323,NC DISTRICT COURT JUDGE DISTRICT 21 (ROEMER),Victoria L. (Tori) Roemer,,111575
5,STANLY COUNTY BOARD OF EDUCATION DISTRICT 4,Vicky Watson,REP,18656
1,ROBESON COUNTY REGISTER OF DEEDS,Vicki L. Locklear,DEM,32787
6,JACKSON COUNTY BOARD OF COMMISSIONERS DISTRICT 3,Vicki Greene,DEM,8457
1240,NC DISTRICT COURT JUDGE DISTRICT 06 (MOODY),Vershenia Ballance Moody,,37618
5,YANCEY COUNTY REGISTER OF DEEDS,Veronica Murphy Gilley,UNA,1281
1372,DISTRICT ATTORNEY DISTRICT 11A,Vernon Stewart,DEM,45937
1131,NC HOUSE OF REPRESENTATIVES DISTRICT 056,Verla Insko,DEM,43144
1165,NC HOUSE OF REPRESENTATIVES DISTRICT 090,Vera Smith Reynolds,DEM,8641
10,WAYNE COUNTY BOARD OF EDUCATION AT-LARGE,Ven Faulk,,20293
2,WILSON COUNTY BOARD OF EDUCATION DISTRICT 2,Velma Hoskins Barnes,,3707
1,ROWAN COUNTY BOARD OF COMMISSIONERS,Veleria M. Levy,DEM,20275
13,SURRY COUNTY BOARD OF COMMISSIONERS EAST DISTRICT,Van Tucker,REP,22248
2,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Van Hemric,,14039
4,MARTIN COUNTY BOARD OF EDUCATION DISTRICT 7,Van Heath,,1271
1373,NC COURT OF APPEALS JUDGE (ZACHARY),Valerie Zachary,REP,2361232
1048,NC STATE SENATE DISTRICT 23,Valerie P. Foushee,DEM,79520
1263,NC DISTRICT COURT JUDGE DISTRICT 10 (DAVIDIAN),V.A. (Woofer) Davidian III,,294848
8,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,V. B. Marsh,,10502
1341,NC DISTRICT COURT JUDGE DISTRICT 26 (HANDS),Ty Hands,,256590
1237,NC DISTRICT COURT JUDGE DISTRICT 06 (STEPHENSON),Turner Stephenson,,37867
1052,NC STATE SENATE DISTRICT 27,Trudy Wade,REP,54512
1,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Troy Dreyfus (Write-In),,117
1317,NC DISTRICT COURT JUDGE DISTRICT 20D (HELMS),Tripp Helms,,70869
1,MECKLENBURG COUNTY COMMISSI0NER AT-LARGE,Trevor M. Fuller,DEM,233852
2,FORSYTH COUNTY BOARD OF COMMISSIONERS - DISTRICT B,Trent Harmon,DEM,42408
5,COLUMBUS COUNTY BOARD OF COMMISSIONERS DISTRICT 5,Trent Burroughs,DEM,2351
10,WAYNE COUNTY BOARD OF EDUCATION AT-LARGE,Trebor Jackson (Write-In),,51
11,WAYNE COUNTY BOARD OF EDUCATION DISTRICT 2,Trebor Jackson (Write-In),,9
12,WAYNE COUNTY BOARD OF EDUCATION DISTRICT 3,Trebor J. Jackson,,3014
1335,NC DISTRICT COURT JUDGE DISTRICT 26 (BROWN-WILLIAMS),Tracy H. Hewett,,170903
8,RANDOLPH COUNTY BOARD OF EDUCATION,Tracy Boyles,,26543
